stable_id,slug,中文名,定义,aliases,keywords,include,exclude,facet,status,source_ordinals,decision_ids
ct-v1-adventure,adventure,冒险,用于检索以“冒险”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""adventure"",""Adventure""]","[""冒险"",""adventure"",""Adventure""]","[""主线明确体现“冒险”（来源别名：Adventure）的作品。""]","[""仅在标题或简介中偶然提及“冒险”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[67],[]
ct-v1-age-gap-romance,age-gap-romance,年龄差恋爱,用于检索以“年龄差恋爱”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""age-gap-romance"",""Age-Gap Romance"",""age-gap"",""Age Gap""]","[""年龄差恋爱"",""age-gap-romance"",""Age-Gap Romance"",""age-gap"",""Age Gap""]","[""主线明确体现“年龄差恋爱”（来源别名：Age-Gap Romance / Age Gap）的作品。""]","[""仅在标题或简介中偶然提及“年龄差恋爱”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[29,84]",[]
ct-v1-amnesia,amnesia,失忆,用于检索以“失忆”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""amnesia"",""Amnesia""]","[""失忆"",""amnesia"",""Amnesia""]","[""主线明确体现“失忆”（来源别名：Amnesia）的作品。""]","[""仅在标题或简介中偶然提及“失忆”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[89],[]
ct-v1-apocalypse,apocalypse,末世,用于检索以“末世”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""apocalypse"",""Apocalypse""]","[""末世"",""apocalypse"",""Apocalypse""]","[""主线明确体现“末世”（来源别名：Apocalypse）的作品。""]","[""仅在标题或简介中偶然提及“末世”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[40],[]
ct-v1-arranged-marriage,arranged-marriage,包办婚姻,用于检索以“包办婚姻”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""arranged-marriage"",""Arranged Marriage""]","[""包办婚姻"",""arranged-marriage"",""Arranged Marriage""]","[""主线明确体现“包办婚姻”（来源别名：Arranged Marriage）的作品。""]","[""仅在标题或简介中偶然提及“包办婚姻”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[90],"[""OC-SEP-05""]"
ct-v1-assassin,assassin,刺客,用于检索以“刺客”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""assassin"",""Assassin""]","[""刺客"",""assassin"",""Assassin""]","[""主线明确体现“刺客”（来源别名：Assassin）的作品。""]","[""仅在标题或简介中偶然提及“刺客”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[86],[]
ct-v1-betrayal,betrayal,背叛,用于检索以“背叛”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""betrayal"",""Betrayal""]","[""背叛"",""betrayal"",""Betrayal""]","[""主线明确体现“背叛”（来源别名：Betrayal）的作品。""]","[""仅在标题或简介中偶然提及“背叛”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[97],[]
ct-v1-blind-date,blind-date,相亲,用于检索以“相亲”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""blind-date"",""Blind Date""]","[""相亲"",""blind-date"",""Blind Date""]","[""主线明确体现“相亲”（来源别名：Blind Date）的作品。""]","[""仅在标题或简介中偶然提及“相亲”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[113],[]
ct-v1-broken-heart,broken-heart,失恋创伤,用于检索以“失恋创伤”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""broken-heart"",""Broken Heart""]","[""失恋创伤"",""broken-heart"",""Broken Heart""]","[""主线明确体现“失恋创伤”（来源别名：Broken Heart）的作品。""]","[""仅在标题或简介中偶然提及“失恋创伤”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[112],[]
ct-v1-campus,campus,校园,检索以学校、大学、校园生活及学生阶段关系为主要故事场景和阅读期待的小说。,"[""campus"",""Campus""]","[""校园"",""campus"",""Campus""]","[""高中或大学生活、同学关系、学生成长、校园恋爱或校园事件构成主线。""]","[""人物只是具有学生身份、但主体情节不发生于学校或学生生活的作品。""]",topic,human_review,[63],"[""OC-REV-03""]"
ct-v1-character-growth,character-growth,人物成长,用于检索以“人物成长”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""character-growth"",""Character Growth""]","[""人物成长"",""character-growth"",""Character Growth""]","[""主线明确体现“人物成长”（来源别名：Character Growth）的作品。""]","[""仅在标题或简介中偶然提及“人物成长”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[71],[]
ct-v1-chef,chef,厨师,用于检索以“厨师”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""chef"",""Chef""]","[""厨师"",""chef"",""Chef""]","[""主线明确体现“厨师”（来源别名：Chef）的作品。""]","[""仅在标题或简介中偶然提及“厨师”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[76],[]
ct-v1-child-centered-romance,child-centered-romance,萌宝题材,用于检索以“萌宝题材”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""babies"",""Babies""]","[""萌宝题材"",""babies"",""Babies""]","[""主线明确体现“萌宝题材”（来源别名：Babies）的作品。""]","[""仅在标题或简介中偶然提及“萌宝题材”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[72],[]
ct-v1-childhood-sweethearts,childhood-sweethearts,青梅竹马,用于检索以“青梅竹马”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""childhood-sweethearts"",""Childhood Sweethearts""]","[""青梅竹马"",""childhood-sweethearts"",""Childhood Sweethearts""]","[""主线明确体现“青梅竹马”（来源别名：Childhood Sweethearts）的作品。""]","[""仅在标题或简介中偶然提及“青梅竹马”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[139],[]
ct-v1-comeback,comeback,逆袭,用于检索以“逆袭”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""female-comeback"",""Female Comeback"",""counterattack"",""Counterattack"",""comeback"",""Comeback""]","[""逆袭"",""female-comeback"",""Female Comeback"",""counterattack"",""Counterattack"",""comeback"",""Comeback""]","[""主线明确体现“逆袭”（来源别名：Female Comeback / Counterattack / Comeback）的作品。""]","[""仅在标题或简介中偶然提及“逆袭”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[6,133,134]","[""OC-MRG-06"",""OC-SEP-04""]"
ct-v1-comedy,comedy,喜剧,用于检索以“喜剧”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""humor"",""Humor"",""comedy"",""Comedy""]","[""喜剧"",""humor"",""Humor"",""comedy"",""Comedy""]","[""主线明确体现“喜剧”（来源别名：Humor / Comedy）的作品。""]","[""仅在标题或简介中偶然提及“喜剧”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[21,47]",[]
ct-v1-contemporary-setting,contemporary-setting,当代背景,用于检索以“当代背景”为核心setting 筛选属性的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""modern"",""Modern""]","[""当代背景"",""modern"",""Modern""]","[""主线明确体现“当代背景”（来源别名：Modern）的作品。""]","[""仅在标题或简介中偶然提及“当代背景”、但不影响主要情节或筛选期待的作品。""]",setting,candidate,[45],"[""OC-SEP-02""]"
ct-v1-contract-marriage,contract-marriage,契约婚姻,用于检索以“契约婚姻”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""contract-marriage"",""Contract Marriage"",""fake-marriage"",""Fake Marriage"",""contractual-marriage"",""Contractual Marriage""]","[""契约婚姻"",""contract-marriage"",""Contract Marriage"",""fake-marriage"",""Fake Marriage"",""contractual-marriage"",""Contractual Marriage""]","[""主线明确体现“契约婚姻”（来源别名：Contract Marriage / Fake Marriage / Contractual Marriage）的作品。""]","[""仅在标题或简介中偶然提及“契约婚姻”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[7,64,74]","[""OC-MRG-01"",""OC-SEP-05""]"
ct-v1-court-intrigue,court-intrigue,宫廷权谋,用于检索以“宫廷权谋”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""court-intrigue"",""Court Intrigue"",""palace-intrigues"",""Palace Intrigues""]","[""宫廷权谋"",""court-intrigue"",""Court Intrigue"",""palace-intrigues"",""Palace Intrigues""]","[""主线明确体现“宫廷权谋”（来源别名：Court Intrigue / Palace Intrigues）的作品。""]","[""仅在标题或简介中偶然提及“宫廷权谋”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[39,73]",[]
ct-v1-crime,crime,犯罪,用于检索以“犯罪”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""crime"",""Crime""]","[""犯罪"",""crime"",""Crime""]","[""主线明确体现“犯罪”（来源别名：Crime）的作品。""]","[""仅在标题或简介中偶然提及“犯罪”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[124],[]
