priority,item,affected_mapping_keys,affected_books,decision_question,option_A_consequence,option_B_consequence,recommendation
P0,穿越重生 整桶1:N（最高频内容桶）,穿越重生[zh-Hans]; 穿越重生[zh-Hant],651,651本的「穿越重生」大桶：按A/C/D的方案整桶同时打上 穿越+重生 两个标签，还是按B的意见先不映射、交给书级分类器拆分？,选整桶双标：651本书立即获得入口、覆盖率最高；但书证显示每本书几乎只属于穿越或重生之一，约一半书会各多一个错误标签（例如《重生七零》会出现在穿越页）。中文读者对穿越重生混排容忍度较高，体验损失可控但真实存在。,选书级分类：标签精确、无假阳性；但需要先跑分类器（或人工），在此之前651本书（全库最大内容桶）没有任何穿越/重生入口，冷启动覆盖受损。,建议：若v1急于上线取方案A（整桶双标）+ 标记待分类器重切；若可等待则直接方案B。这是本轮唯一影响数百本书的单点决策。
P0,仙侠修真：新建 xianxia 还是并入 eastern-fantasy,仙侠情缘[zh-Hans]; 仙侠武侠[zh-Hans]; 仙俠情緣[zh-Hant]; 仙俠武俠[zh-Hant]; 武侠仙侠[zh-Hans],55,55本纯修仙/仙恋书证：A/D要求新建xianxia入口，B/C主张并入eastern-fantasy（已承载玄幻奇幻584本）。2:2硬分裂。,选新建xianxia：修仙用户获得精准入口（渠道自己也在同一scope把玄幻奇幻和仙侠武侠分开设桶）；代价是fantasy族标签+1，且与eastern-fantasy是子集关系需要维护边界。,选并入eastern-fantasy：标签体系更简洁，用户点东方奇幻看到修仙书不会觉得搜错；代价是主动搜「修仙/仙侠」的用户失去专属入口，55本书淹没在584本玄幻中。,建议：v1并入eastern-fantasy + 将「仙侠/修真/xianxia」设为alias导流；数据量上来后再拆分。此为纯粒度偏好，无对错。
P1,同人 fanfiction 是否进v1,动漫同人[zh-Hans]; 動漫世界[zh-Hant],10,四家都提了同人概念，但纯净书证只有3本（漫威/宝可梦/动漫穿越）+動漫世界约4-5本同人；且涉及IP合规。,选新建fanfiction：同人是真实检索意图，入口从第一天存在；代价是靠约8本书撑一个正式标签，且漫威/火影等IP衍生内容的合规边界需要产品确认。,选暂缓：无合规风险、体系干净；代价是同人书暂时只能靠玄幻/系统等旁路入口，「同人」搜索无结果。,建议：暂缓新建，登记为已确认gap；若运营侧确认IP合规策略则可立即新建（定义/正反例已备好，见NEW_CANONICAL_CROSS_REVIEW）。
P1,EN Horror 半脏桶的回收方式,Horror[EN],68,horror新标签已按干净scope（日/俄/韩/阿/德/葡）建立；EN Horror 68本约一半是真恐怖（house of horrors系列）、一半是女频复仇言情（50/68与女频共现）。,选整桶挂入horror：恐怖页第一天就有量（+68本）；代价是约50%噪声，恐怖用户点进去一半是复仇言情，新标签口碑受损。,选DEFER+book级过滤回收：标签纯净；代价是需要一次书级过滤跑批，期间EN恐怖书没有入口。,建议：DEFER+过滤回收（当前裁决）。ID Horor(19本，含Pesugihan/Genderuwo民俗恐怖)同此处理。
P2,青少年标签装成人内容（分级安全）,Young Adult[EN](已MAP需复核); Adulto Joven[ES](DEFER); Jovem Adulto[PT](DEFER),282,EN Young Adult 184本四家一致MAP young-adult但书证含继兄/床伴等偏熟内容；ES/PT两个「青年成人」桶实为露骨情色，已DEFER。是否维持EN的MAP并对三桶统一做分级复核？,维持现状（EN挂YA、ES/PT不挂）：覆盖与安全折中；青少年页仍可能出现偏熟内容，需要内容分级侧兜底。,三桶全部DEFER待分级过滤：青少年页最安全；EN 184本暂失入口。,建议：维持现状+把三桶移交内容分级流程复核；这是内容安全问题不是taxonomy问题。
P2,Для взрослых[RU]：mature-content 还是 young-adult,Для взрослых[RU],6,标签字面=「成人向」（年龄门槛），但6本书证全是高中/大学恋爱。A/C/D按标签给mature-content，B按书证给young-adult，方向相反。,选mature-content：尊重来源分级意图，安全方向保守（若书内含露骨内容而简介未显示，不会错放进青少年页）；代价是若书真是青春恋爱则被错误盖上成人章。,选young-adult：贴合可见书证；风险是若「для взрослых」确为18+门槛，等于把成人门槛内容放进青少年入口——分级事故。,建议：mature-content（安全不对称：错保守可纠、错开放有害），并请俄语运营确认该标签在来源侧的真实含义。
P2,History/Histoire/Historia 假朋友家族确认,Histoire[FR]49; History[EN]32; História[PT]14; Historia[ES]7; История[RU]4; Sejarah[ID]3; Kasaysayan[TL]4（Histoire[AR]已按书证MAP古言）,113,拉丁/斯拉夫语「history=故事」二义+公版书混装，7键已全部DEFER_SOURCE_DIRTY。是否确认不映射并反馈来源侧修复？,确认DEFER：历史页零污染；113本书暂无历史入口（其中真历史书占比很低）。,强行按字面MAP historical-romance：覆盖+113本；但狼人/家暴/情色书会直接灌入古代言情页——四家书证一致反对。,建议：确认DEFER。EN History中约半数西式历史言情可留待「西式历史言情」子概念或book级回收。
P2,Xuanhuan 罗马化家族确认,Xuanhuan/xuanhuan ×9 scope（EN15/ID17/zh-Hant10/FR7/PT6/ES4/VI4/AR1 + 另1）,64,罗马化「Xuanhuan」在9个非预期scope书证全部失真（替嫁总裁/二次机会言情/兽人Omegaverse），与同scope正常工作的中文「玄幻奇幻」并存，判定为另一套分类的错投。已全部DEFER。,确认DEFER并反馈来源：玄幻页零污染；64本书等来源修复。,按B的书证方案反字面映射（如FR→rebirth 0.96、ID/PT/zh-Hant→modern-romance）：立即回收约50本覆盖；风险是这些桶的语义由错投产生，来源侧一旦修复或重投，mapping会静默失效。,建议：确认DEFER为主；若Owner接受反字面映射，FR Xuanhuan→rebirth是书证最强(7/7)的一个，可单独放行。
P2,Adventure 家族关闭为 IGNORE 的签署,Adventure/Aventura/Aventure/Приключе/Pakikipagsapalaran/모험/Abenteuer/ผจญภัย ×10键（JA冒険与zh-Hant Adeventure除外，二者有真实语义已单独MAP）,约430,10键约430本，共现几乎100%男频、内容完全异质（情色合集/狼人/复仇/测试数据），交叉验证判定为男频侧fallback桶（与Others同性质），已按IGNORE关闭——但原审中3家投的是HUMAN_REVIEW，此项请Owner签署确认。,签署IGNORE：冒险页零污染（四家一致反对映射adventure，这是本轮防住的最大错分类）；这批书仍通过男频→male-audience获得受众入口。,改为继续人工审：多一轮人力；结论大概率不变（书证系统性异质）。,建议：签署IGNORE。
P3,低频证据不足项,ตำนาน[TH]2; LGBT+[AR]1; LGBT+[KO]1; Bahaghari[TL]2; Fantasie[DE]1; 动漫世界[zh-Hans]1(已DROP); 歷史傳記[zh-Hant]1(已DROP); TR Fantasy3; VI Fantasy2 等,约15,单本/双本样本无法支撑唯一结论的长尾键（意大利语26本、阿拉伯语46本两个scope样本量过小是主因）。,扩样后重判：结论可靠；需要一次补采。,维持DEFER/DROP不动：零成本；这批书走频道入口兜底。,建议：随下一次B1扩样重判，不单独立项。
