normalized_concept,A_support,B_support,C_support,D_support,support_count,suggested_slug,suggested_display_name_zh,definition,positive_boundary,negative_boundary,source_mapping_keys,book_evidence_count,retrieval_value,existing_119_overlap,verdict,confidence,owner_review_required,notes
male-audience 男性向,yes,yes,yes,no — IGNORE(运营旗),3,male-audience,男性向,来源侧明确标为面向男性读者的作品集合（audience facet，与female-audience对称）；描述受众导向而非主角性别。,各scope「男频」书目：赘婿逆袭/战神归来/玄幻修仙/军旅/末世。,仅男主视角但来源未标男频的作品；女频作品。,男频[RU]; 男频[EN]; 男频[JA]; 男频[DE]; 男频[zh-Hant]; 男频[ES]; 男频[KO]; 男频[TL]; 男频[VI]; 男频[TH]; 男频[FR]; 男频[AR]; 男频[PT]; 男频[ID]; 男频[TR]; 男频[zh-Hans],1684,"高：与female-audience对称的一级检索轴，1,684本书目前无入口",audience facet已存在female-audience/young-adult，男性向为空缺,ADD_CANONICAL,0.92,false,D主张女频男频同进同退；若Owner不扩audience则女频17键与男频16键需一并改IGNORE
LGBT+ / 耽美 / BL 同性恋爱,yes,yes(lgbtq+boys-love),yes,yes,3,lgbtq-romance,LGBT+（同性恋爱）,以同性/酷儿亲密关系（BL/GL/耽美/跨性别/ABO取向）为核心恋爱主线的小说。,BL/GL主线、Mpreg、跨性别主角（Omega Bound/直男掰彎指南/นิยายวาย全桶）。,仅同性配角或友情；Omegaverse设定但主CP为异性；无法确认同性主线的样本（AR/KO单本已排除）。,LGBT+[EN]; LGBT+[ES]; LGBT+[PT]; ЛГБТ+[RU]; นิยายวาย[TH]; LGBT+[FR]; LGBT+[ID]; 耽美同人[zh-Hant],162,高：多scope稳定高频（EN 79/TH 18/ES 18），119零覆盖；forbidden-love/cross-dressing均非性向概念,无（119完全无承载）,ADD_CANONICAL,0.9,false,slug四家各异(lgbtq-romance/lgbtq/lgbt-plus/lgbt)已语义归一为同一identity；boys-love/BL/耽美/วาย作alias；耽美同人的同人维度不再拆第二个tag
boys-love（B单独提出的BL子概念）,归入LGBT,yes,归入LGBT,归入LGBT,1,—,耽美/BL,B基于泰语นิยายวาย提出的BL子概念；语义为lgbtq-romance的子集。,同lgbtq-romance正例中BL部分。,GL/跨性别等非BL内容。,นิยายวาย[TH],18,中：BL确有独立搜索词，但v1粒度过细,lgbtq-romance(本轮新建)完全覆盖,ALIAS_ONLY,0.85,false,作为lgbtq-romance的alias（BL/Yaoi/耽美/วาย），不建独立ID，避免切碎同一结果页
灵异 / supernatural / paranormal,"yes(supernatural-occult,+suspense edge)",yes(paranormal),yes(supernatural),yes(supernatural),0,supernatural,灵异,鬼怪、通灵、捉妖、风水、冥婚、民间怪谈等超自然元素对主线有实质影响的小说。,鬼门/捉妖师/通靈冊/黃河撈屍人/法医冥夫/瓶仙/盗墓怪谈。,纯现实刑侦推理（suspense/criminal-investigation）；修真升级流（仙侠/玄幻）；以血腥恐惧为主卖点的恐怖（horror）。,悬疑灵异[zh-Hans]; 懸疑靈異[zh-Hant]; 灵异悬疑[zh-Hans]; 灵异推理[zh-Hans]; 靈異推理[zh-Hant]; 悬疑探险[zh-Hans],156,高：中文男频核心品类约156本，语义高度一致，suspense无法承载「现实世界有鬼」,suspense仅覆盖推理紧张感；fantasy是异世界体系——均不等价,ADD_CANONICAL,0.9,false,4/4同概念（slug归一）；A的+suspense副edge未采纳（单一target更干净）；RU Мистика纯度不足未挂入
恐怖 / horror,yes,yes,yes,no — 认可缺口但拒绝用脏桶新建,3,horror,恐怖,以恐惧、惊吓、生理不适或超自然恐怖为核心阅读体验的小说。,『化け物』のいる家/血茶(피로 키운 차)/鬼屋(البيت بعد الجسر الرابع)/人相食末世/恐怖短篇集。,仅结局悲惨或反派狠毒的复仇言情（FR/ID/TH/TR/VI的Horror桶多为此类，已排除）；无恐惧卖点的悬疑。,"Horreur[AR]; Horror[DE]; Horror[PT]; Ужасы[RU]; ホラー[JA]; 공포[KO]; 另有EN Horror(68,约半真恐怖)与ID Horor(19,含民俗恐怖)建议book级过滤后回收",18,高：概念跨13个scope出现，119零覆盖，suspense不可替代,suspense（悬念≠恐惧体验）,ADD_CANONICAL,0.75,false,仅挂入书证干净的6键(~18本)；EN/ID脏桶DEFER待过滤回收——D的顾虑通过收窄挂载范围解决
历史架空 / historical-fiction,yes(alternate-history),yes(historical-fiction),"yes(historical-fiction,边界提案)",yes(alt-history),0,historical-fiction,历史（架空/权谋）,以真实或架空历史时代为舞台，争霸、权谋、建制、改写历史为主线的小说；不要求言情。,三国摄政王/開局十萬火槍兵明末崛起/大唐第一纨绔/极品皇爷长青帝。,爱情为绝对主线的古代言情（historical-romance）；现代军旅（military）；真实传记。,历史架空[zh-Hans]; 歷史架空[zh-Hant]; 历史军事[zh-Hans],53,高：男频历史约53本无任何入口，historical-romance只覆盖女频古言,historical-romance(女频古言)/court-intrigue(宫斗)/time-travel(入场方式)/military(现代军旅)——均只覆盖一角,ADD_CANONICAL,0.85,false,A/D的alt-history与B/C的historical-fiction边界归一：采较宽historical-fiction（含少量真实历史战争书证如抗日之刀魂）
游戏竞技 / esports,yes(esports-gaming),yes(gaming-esports),"yes(gaming,边界提案)",yes(game-esports),0,gaming-esports,游戏竞技,电竞、网游、游戏世界规则或游戏化生存构成主线的小说。,電競大神誰拿了我的98k/英雄联盟之野区至霸/网游之重生天下第一/星际求生游戏变现。,仅主角会打游戏的都市文；无玩家/电竞主线的普通系统文（system-fantasy）。,游戏竞技[zh-Hans]; 遊戲競技[zh-Hant],23,中高：标准男频品类23本，system-fantasy不等价,system-fantasy(金手指机制≠游戏场景),ADD_CANONICAL,0.85,false,4/4同概念，slug词序归一为gaming-esports；動漫同人[zh-Hant]（4/5网游书证）DEFER，若Owner接受反字面映射可回收至此
同人 / fanfiction,"yes(fanfiction-doujin,自标证据偏薄)",yes(fanfiction),"yes(fan-fiction,边界提案)",yes(fanfiction),0,fanfiction,同人,基于既有动漫/游戏/影视IP进行二次创作的小说。,漫威暗影军团/神奇宝贝闪电鸟/人在木葉/西遊帳號/影視穿越。,原创世界观作品；仅用通用神话角色；网游文（動漫同人[zh-Hant]实为网游桶已排除）。,动漫同人[zh-Hans]; 動漫世界[zh-Hant],10,中高：同人是稳定检索意图且119零覆盖；另涉IP合规,无,OWNER_REVIEW,0.6,true,4/4名义支持，但纯净硬书证仅3本（动漫同人[zh-Hans]）+動漫世界[zh-Hant]约4-5/7本；证据量是否达标+IP合规边界需Owner定夺（P1）
仙侠修真 / xianxia,yes(xianxia),no — MAP eastern-fantasy(武侠仙侠单键给kung-fu),no — MAP eastern-fantasy,yes(xianxia-wuxia),0,xianxia,仙侠修真,以修真/修仙体系（宗门、境界、渡劫、飞升、剑修）为核心的东方奇幻小说。,仙侠六界/不灭剑尊/斬仙/妻從天降道尊。,无修真体系的都市金手指文；西式魔法奇幻；功夫动作(kung-fu)。,仙侠情缘[zh-Hans]; 仙侠武侠[zh-Hans]; 仙俠情緣[zh-Hant]; 仙俠武俠[zh-Hant]; 武侠仙侠[zh-Hans],55,中高：55本纯修仙书证，中文读者主动区分修仙与玄幻,eastern-fantasy高度重叠（已承载玄幻奇幻584本）——子集关系,OWNER_REVIEW,0.65,true,2:2硬分裂（P0）：渠道在同scope并列设玄幻奇幻/仙侠武侠两桶支持独立；但并入eastern-fantasy用户也不会觉得搜错。纯taxonomy粒度决策
异世界 / isekai,no — MAP time-travel,yes(isekai),no — MAP fantasy,yes(isekai),0,—,异世界,主角从现实世界转移/转生到规则不同的异世界。,元は地球の俺ですが無双してます。,原生奇幻世界；中式历史穿越。,異世界[JA],2,概念真实但当前书证仅2本,fantasy可承载；time-travel页以中式古言为主会错配,MAP_TO_EXISTING,0.7,false,裁决：并入fantasy(ct-v1-fantasy)，isekai登记为未来alias/gap；2本书不足以新建v1标签
