novel_review_id,raw_language_scope,title,description,proposed_tag_count,proposed_tags
nrv_0055339e7ef550d177493456,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",The Return of Tarzan,"In this second addition to Edgar Rice Burroughs' epic adventures of Tarzan, listeners will find the jungle man leaving America to visit old friends in Europe. Through spirals of action, disaster, and shipwreck, we find Tarzan and a group of travelers, including his first love Jane and his new archenemy Rokoff, back in the jungle where he was raised. Encountering even more hardship in the harsh jungle, Tarzan again fights wild animals and savage tribes in the ultimate search for secret buried treasure. This sequel to Tarzan of the Apes sheds even more light on the beloved jungle hero's life, loves, and struggles fitting into human society.",1,ct-v1-first-love|first-love|初恋|first love
nrv_01c03948ae7beea2f508bcae,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",Veins Of Vengeance,"In a world where family ties bind with unbreakable chains, Zara and Damon are caught in a web of loyalty, blood feuds, and forbidden love. The moment their eyes meet, sparks ignite, but their families have been enemies for generations. Zara, the daughter of a powerful crime lord, is promised to a man she does not love, while Damon is the heir to the rival family who killed her brother. As their paths intertwine, the heat of their passion becomes the ultimate betrayal, and every stolen moment could cost them everything. In a world of vengeance and sacrifice, can love survive the storm?",3,ct-v1-crime|crime|犯罪|crime ;; ct-v1-betrayal|betrayal|背叛|betrayal ;; ct-v1-forbidden-love|forbidden-love|禁忌之恋|forbidden love
nrv_0266f51f988b103b64eacfdb,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]","He Broke Me, Another Man Fixed Me","My husband, the ruthless Don of the Parks family, made his choice.

When his mistress burst in screaming that her son was sick, Jackson didn't hesitate. He left me—his wife who had just been poisoned—pinned against the wall to die, rushing to comfort a child who wasn't even his blood.

That night, ""Elena Parks"" died in a fiery car crash.

I spent years rebuilding myself in France, hidden by Hamilton Nixon, a man who loved me in the shadows. I finally found peace. I finally felt free.

But Jackson found out the truth. He discovered the boy was another man's son and that his mistress had been drugging him. Instead of letting me go, his grief turned into a terrifying obsession.

He hunted me down, kidnapped me, and dragged me back to the estate that had been my prison.

I woke up tied to our marriage bed with silk ribbons.

""I'm building a garden,"" he whispered maniacally, stroking my hair as I struggled against the bonds. ""Just like you wanted. We're going to be happy.""

He thought kidnapping was a grand romantic gesture. He thought he could erase the abuse with a fresh coat of paint and forced proximity.

But he underestimated me. And he underestimated Hamilton.

After a violent rescue, I rose from the ashes not as his wife, but as a titan of industry.

Six months later, Jackson stormed the stage at my global summit. He knelt before me on live television, holding a ten-carat pink diamond, thinking he could buy my forgiveness.

""I'm ready to take you back,"" he announced to the world.

I looked at the man who had destroyed me, then at Hamilton, the man who had saved me.

I grabbed Hamilton's lapels and kissed him in front of millions.

""There is no 'us', Jackson,"" I told him into the microphone, watching his world shatter. ""You are just haunting a graveyard.""",2,ct-v1-kidnapping|kidnapping|绑架|kidnapping ;; ct-v1-marriage|marriage|婚姻题材|marriage
nrv_04314617575838746a1e2b10,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",The Woman I Saved Destroyed Me,"One moment, I was crossing the street, holding my fiancée Olivia' s hand, laughing about our future.

The next, a careening black sedan was aimed right at her.

There was no time to think; I pushed her to safety, taking the hit myself.

I woke up three years later, my face a ruin, my body a stranger to me.

But the real horror began when I saw Olivia on TV-a celebrity, crying beautiful, convincing tears about her supposedly devoted fiancé, who she visited ""every day.""

She even fooled me, lying there paralyzed in my hospital bed, while I dreamed of returning to her.

After grueling surgeries and therapy, I went home to surprise her.

Instead, I found her celebrating with my best friend, Mark, who confessed they' d let my frail mother ""waste away"" and seized all my assets.

My mother, gone. My home, desecrated.

The woman I saved, the friend I trusted, had systematically destroyed everything I loved, believing I was a ""vegetable.""

My world shattered again, replaced by a burning desire for vengeance.

I was no longer the man I used to be.

I was a ghost, returned to reclaim what was mine and make them pay.",1,ct-v1-entertainment-industry|entertainment-industry|娱乐圈|celebrity
nrv_053f7e9209a10556f6ce30be,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",邪王盛寵：神醫嫡女囂張妃,"“娘子，你別跑，快到爲夫碗裏來~” 她本是21世紀的天才醫生，驚才絕豔，意外重生，再睜眼卻成了被人欺凌的鎮南侯府大小姐。 她本應是受盡榮寵的嫡長女，卻被庶母欺，庶妹辱，渣男虐。 當她成爲她，不再懦弱草包，眼底只剩冷意囂張，虐渣鬥庶母，大殺四方。 可那個只見一次面就將祖代相傳的正妻信物給她的男人，這麼隨便真的沒關系嗎？ 說好的不近女色高冷絕情的呢，這位世子爺您整天黏在身邊真的好嗎？
",2,ct-v1-rebirth|rebirth|重生|重生 ;; ct-v1-genius|genius|天才|天才
nrv_056c5ac7811da4a3d47caddb,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",萬界雜貨鋪,"（2018年最火都市爽文，完全免費閱讀）
想要太上老君煉製的極品仙丹來強身健體，補充營養嗎？
想要月老的紅線去撩妹嗎？
想要鐵扇公主同款芭蕉扇作為收藏品嗎？
想要東海龍宮爆款黑珍珠作為情人節禮物嗎？
楊凡無意間成為仙靈空間的掌控者，擁有諸天萬界各種各樣的寶貝，萬壽無疆不再是夢想，青春永駐成為標配，美女總裁投懷送抱，絕美校花紛至遝來，彪悍大小姐溫柔以待，只有你想不到，沒有我拿不出，看楊凡如何走上人生巔峰，給全世界人民漲姿勢。",1,ct-v1-princess|princess|公主|公主
nrv_05858c0f81cc7befd153a55c,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",Embolden star ,"The romantic love story between Micheal. L and Rosie. Love at the first sight story; Micheal is a business tycoon while Rosie is a college student working in a fast-food restaurant after her parents kicked her out of the house after being ashamed because of her as she was imprisoned in the case of murdering a girl; who used to be her classmate. 

Did she kill someone or it was someone plan? ",1,ct-v1-student|student|学生|student
nrv_07fe888699ec164769b874a5,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",I Never Hated You,"Hakim was every girl's dream at Northwest High and every guy's role model. He was hot, smart, popular, romantic and all, and every girl's dream was to get laid by him. He was living the dream life, but he had one single problem; Dante. Dante was the complete vice versa of Hakim; soft, gentle, unnoticed, innocent, and these traits drew Hakim's heart towards him, and for that reason, Hakim hated him. He hated his lingering gazes and admiring glances, and he hated that he felt the need to hold him, to protect him, and for that reason he resolved to torment Dante, making his high school days unbearable. Dante was forever scarred by him, and his heart broke into many pieces.
Now, years later, after the two drifted apart, going on to their two separate worlds, Dante builds an image for himself. He is no longer the timid, innocent boy at Northwest High, but is now a top corporate lawyer in the industry, and a fine one at that.
What happens when he is hired by a law firm and finds out that his boss is no other person but Hakim? And what happens when a workplace romance sparks between him, Hakim, Basil (a detective), and his co-worker, Cole
",2,ct-v1-lawyer|lawyer|律师|lawyer ;; ct-v1-romance|romance|言情|romance
nrv_08c4010f0f954cf11aaeea0d,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""6\""]"",[""string"",""法语""]]",LE COMPAGNON D'ALPHA NE SAIT PAS,"Olivia Vale - Après la mort de ses parents dans un accident de voiture à l'âge de 6 ans, elle et son frère aîné, Shawn, ont dû vivre une vie compliquée dans une famille d'accueil jusqu'à ce qu'il devienne assez vieux pour subvenir seuls à leurs besoins. Aujourd'hui âgée de 18 ans, elle vit dans une bulle, ignorant les secrets qui lui sont cachés depuis 12 ans. Même si elle a une vie normale et un petit ami aimant, elle ressent une émotion grandir en elle à chaque fois qu'elle voit Kaden. Pourquoi ressent-elle une attirance envers Kaden comme elle ne l'a jamais fait avec son petit ami ? Pourquoi a-t-elle l'impression que tout autour d'elle ne va pas ?
Kaden Blake - Après que Blue Moon Pack ait perdu ses anciens Alpha et Luna, ce jeune Alpha essaie de faire avancer sa meute avec les conseils de sa Bêta. Aujourd'hui âgé de 18 ans, il est involontairement envoyé dans une université loup-garou-humain pour étudier lorsqu'il ressent soudain une attirance pour cette fille blonde. A-t-il déjà trouvé sa compagne ? Mais pourquoi a-t-elle l'air si perdue et ne le reconnaît-elle pas ? L'a-t-elle déjà rejeté ?
",1,ct-v1-werewolf-luna|werewolf-luna|Luna（狼人女首领）|Luna
nrv_093f53b0d4cfed4d1008b3e5,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",凤唳九州：暴君请退位,"大婚之夜，她翘首以盼的如意郎君，变成一把嗜血的刀，刺穿了她的身体，灭尽了她的九族。
唐青雁曾以为情爱便是得到，后来她错了，情爱是把利刃，让她坠入万劫不复之地。
许是上天怜悯让她一朝重生，她醒来发现，自己竟成了前世死对头他哥的新妇，只不过，她嫁过来的第一天就开始守寡。
唐青雁决定这一世要活得潇潇洒洒，先入商行，夺了京城首富的头衔，再入皇权，搅动九州乾坤。
终于成了有钱有权的富婆，唐青雁拽着某男的衣袖，鼓足勇气，“小叔，我要改嫁。”
顾修挑眉，“你生是我顾家的人，死是我顾家的鬼。”
她终于知道了上一辈子宠她、护她、为她披荆斩棘的人是他，也明白了，爱非得到而是守护。",1,ct-v1-rebirth|rebirth|重生|重生
